City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
432,kimbe,-5.5502,150.1429,25.86,88,92,1.46,PG,1717965281
433,kabompo,-13.5927,24.2008,17.76,42,2,4.68,ZM,1717965282
434,carora,10.1755,-70.0827,34.29,36,86,2.68,VE,1717965282
435,arar,30.9753,41.0381,35.01,7,0,5.14,SA,1717965282
436,berezovyy,51.6667,135.7,11.89,99,100,2.33,RU,1717965282
437,essaouira,31.5125,-9.77,20.72,73,20,3.6,MA,1717965283
438,saudarkrokur,65.7461,-19.6394,4.57,93,83,3.76,IS,1717965283
439,shimoda,34.6667,138.95,17.84,96,100,3.79,JP,1717965283
440,guarapari,-20.6667,-40.4975,22.38,76,4,4.08,BR,1717965283
441,merritt,50.1123,-120.7942,27.96,22,100,0.89,CA,1717965283
442,tubarjal,30.4999,38.216,28.11,26,0,9.04,SA,1717965284
443,alice springs,-23.7,133.8833,4.75,93,0,2.57,AU,1717965284
444,dapa,9.7594,126.0531,27.62,80,97,1.75,PH,1717965284
445,arica,-18.475,-70.3042,23.75,63,0,6.69,CL,1717964972
446,ikalamavony,-21.15,46.5833,14.69,77,88,4.06,MG,1717965284
447,villa emilio carranza,19.9667,-96.6,31.53,66,72,5.73,MX,1717965284
448,katsuren-haebaru,26.3369,127.8719,24.21,96,75,1.54,JP,1717965285
449,loikaw,19.6742,97.2094,21.41,92,100,1.36,MM,1717965285
450,nago,26.5881,127.9761,24.24,89,98,1.25,JP,1717965285
451,fedorovka,53.6314,62.7078,15.91,94,87,4.62,KZ,1717965285
452,zhalantun,48.0,122.7167,16.25,48,100,2.49,CN,1717965286
453,karbala,32.616,44.0249,37.22,12,38,5.49,IQ,1717965286
454,deqen,29.9618,90.7188,9.94,72,12,1.68,CN,1717965286
455,ola,59.5833,151.2833,5.08,91,100,1.46,RU,1717965286
456,nefteyugansk,61.0998,72.6035,14.98,55,21,4.47,RU,1717965286
457,inebolu,41.9747,33.7608,20.13,61,61,2.96,TR,1717965094
458,sandnessjoen,66.0217,12.6316,17.29,55,0,4.12,NO,1717965287
459,harper,4.375,-7.7169,25.69,89,99,4.32,LR,1717965287
460,xiuyan,40.2928,123.2744,15.26,95,4,0.91,CN,1717965287
461,vila do maio,15.1333,-23.2167,24.44,83,0,6.52,CV,1717965287
462,akureyri,65.6835,-18.0878,5.96,81,75,4.12,IS,1717965287
463,ranau,5.9538,116.6641,22.1,97,99,0.21,MY,1717965287
464,santa terezinha,-29.9002,-50.0904,19.66,84,6,4.24,BR,1717965288
465,iquique,-20.2208,-70.1431,18.02,84,24,2.56,CL,1717965256
466,charters towers,-20.1,146.2667,9.63,74,6,1.42,AU,1717965288
467,romny,50.751,33.4747,16.9,73,100,2.82,UA,1717965288
468,malango,-2.9627,119.9001,18.9,100,51,0.81,ID,1717965288
469,aitape,-3.1374,142.3475,25.83,87,15,2.11,PG,1717965289
470,medina de pomar,42.9294,-3.488,13.07,95,100,1.95,ES,1717965289
471,dogondoutchi,13.6393,4.0287,38.32,28,31,1.58,NE,1717965289
472,bang khla,13.7214,101.2081,30.21,75,100,3.31,TH,1717965289
473,strathalbyn,-35.2667,138.9,14.5,77,100,2.07,AU,1717965289
474,mandera,3.9366,41.867,28.29,46,87,9.35,KE,1717965290
475,cold lake,54.4502,-110.2017,10.97,76,100,4.12,CA,1717965290
476,mossel bay,-34.1831,22.146,9.96,78,6,2.52,ZA,1717965290
477,porbandar,21.6422,69.6093,28.96,79,2,6.69,IN,1717965290
478,dwarka,22.2394,68.9678,28.92,82,40,6.46,IN,1717965290
479,amahai,-3.3333,128.9167,25.31,88,80,2.55,ID,1717965291
480,praia da vitoria,38.7333,-27.0667,21.14,73,20,3.55,PT,1717965291
481,dryden,49.7833,-92.7503,17.16,29,0,2.06,CA,1717965291
482,soe,-9.8607,124.284,15.34,97,16,1.71,ID,1717965291
483,okha,53.5739,142.9478,5.14,95,100,5.36,RU,1717965291
